,20,450,500,550,600,650
10,4.291,2.552,2.459,2.361,2.26,2.155
20,2.755,1.931,1.841,1.748,1.652,1.553
40,1.931,1.485,1.403,1.316,1.231,1.139
100,1.331,1.08,1.007,0.933,0.859,0.787
200,1.057,0.869,0.805,0.741,0.678,0.618
400,0.863,0.715,0.659,0.605,0.552,0.502
1000,0.698,0.578,0.532,0.487,0.445,0.404
2000,0.59,0.488,0.449,0.412,0.376,0.342
4000,0.498,0.412,0.38,0.348,0.317,0.289
10000,0.399,0.33,0.304,0.278,0.254,0.231
20000,0.341,0.282,0.26,0.238,0.217,0.198
40000,0.301,0.249,0.229,0.21,0.192,0.174
100000,0.267,0.221,0.203,0.186,0.17,0.154
200000,0.25,0.207,0.19,0.174,0.159,0.145
400000,0.238,0.197,0.181,0.166,0.151,0.138
1000000,0.225,0.186,0.171,0.157,0.143,0.13
5000000,0.203,0.168,0.154,0.141,0.129,0.117
10000000,0.192,0.159,0.146,0.134,0.122,0.111
50000000,0.169,0.14,0.129,0.118,0.108,0.098
100000000,0.165,0.136,0.125,0.115,0.105,0.095
1000000000,0.085,0.056,0.045,0.055,0.045,0.035
